Source Name	Material Type	Characteristics[Organism]	Characteristics[Population]	Characteristics[CellType]	Characteristics[Observation]	Characteristics[Individual]	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	Factor Value[INDIVIDUAL]	Factor Value[POPULATION]	Factor Value[SIGNAL]
NA18524	cell	Homo sapiens	HapMap CHB	lymphoblastoid	asian	NA18524	P-MTAB-13849	NA18524	total_RNA	P-MTAB-13850	NA18524	biotin	P-MTAB-13851	NA18524_1_1	A-MEXP-930	P-MTAB-13852	CHB.raw_data.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-264/E-MTAB-264.raw.1.zip	P-MTAB-13853	NA18524	CHB_p3_expression.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-264/E-MTAB-264.processed.1.zip	NA18524	HapMap CHB	HIGH
NA18524	cell	Homo sapiens	HapMap CHB	lymphoblastoid	asian	NA18524	P-MTAB-13849	NA18524	total_RNA	P-MTAB-13850	NA18524	biotin	P-MTAB-13851	NA18524_2_1	A-MEXP-930	P-MTAB-13852	CHB.raw_data.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-264/E-MTAB-264.raw.1.zip	P-MTAB-13853	NA18524	CHB_p3_expression.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-264/E-MTAB-264.processed.1.zip	NA18524	HapMap CHB	HIGH
NA18526	cell	Homo sapiens	HapMap CHB	lymphoblastoid	asian	NA18526	P-MTAB-13849	NA18526	total_RNA	P-MTAB-13850	NA18526	biotin	P-MTAB-13851	NA18526_1_1	A-MEXP-930	P-MTAB-13852	CHB.raw_data.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-264/E-MTAB-264.raw.1.zip	P-MTAB-13853	NA18526	CHB_p3_expression.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-264/E-MTAB-264.processed.1.zip	NA18526	HapMap CHB	HIGH
NA18526	cell	Homo sapiens	HapMap CHB	lymphoblastoid	asian	NA18526	P-MTAB-13849	NA18526	total_RNA	P-MTAB-13850	NA18526	biotin	P-MTAB-13851	NA18526_2_1	A-MEXP-930	P-MTAB-13852	CHB.raw_data.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-264/E-MTAB-264.raw.1.zip	P-MTAB-13853	NA18526	CHB_p3_expression.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-264/E-MTAB-264.processed.1.zip	NA18526	HapMap CHB	HIGH
NA18529	cell	Homo sapiens	HapMap CHB	lymphoblastoid	asian	NA18529	P-MTAB-13849	NA18529	total_RNA	P-MTAB-13850	NA18529	biotin	P-MTAB-13851	NA18529_1_1	A-MEXP-930	P-MTAB-13852	CHB.raw_data.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-264/E-MTAB-264.raw.1.zip	P-MTAB-13853	NA18529	CHB_p3_expression.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-264/E-MTAB-264.processed.1.zip	NA18529	HapMap CHB	HIGH
NA18529	cell	Homo sapiens	HapMap CHB	lymphoblastoid	asian	NA18529	P-MTAB-13849	NA18529	total_RNA	P-MTAB-13850	NA18529	biotin	P-MTAB-13851	NA18529_2_1	A-MEXP-930	P-MTAB-13852	CHB.raw_data.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-264/E-MTAB-264.raw.1.zip	P-MTAB-13853	NA18529	CHB_p3_expression.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-264/E-MTAB-264.processed.1.zip	NA18529	HapMap CHB	HIGH
NA18532	cell	Homo sapiens	HapMap CHB	lymphoblastoid	asian	NA18532	P-MTAB-13849	NA18532	total_RNA	P-MTAB-13850	NA18532	biotin	P-MTAB-13851	NA18532_1_1	A-MEXP-930	P-MTAB-13852	CHB.raw_data.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-264/E-MTAB-264.raw.1.zip	P-MTAB-13853	NA18532	CHB_p3_expression.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-264/E-MTAB-264.processed.1.zip	NA18532	HapMap CHB	HIGH
NA18532	cell	Homo sapiens	HapMap CHB	lymphoblastoid	asian	NA18532	P-MTAB-13849	NA18532	total_RNA	P-MTAB-13850	NA18532	biotin	P-MTAB-13851	NA18532_2_1	A-MEXP-930	P-MTAB-13852	CHB.raw_data.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-264/E-MTAB-264.raw.1.zip	P-MTAB-13853	NA18532	CHB_p3_expression.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-264/E-MTAB-264.processed.1.zip	NA18532	HapMap CHB	HIGH
NA18534	cell	Homo sapiens	HapMap CHB	lymphoblastoid	asian	NA18534	P-MTAB-13849	NA18534	total_RNA	P-MTAB-13850	NA18534	biotin	P-MTAB-13851	NA18534_1_1	A-MEXP-930	P-MTAB-13852	CHB.raw_data.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-264/E-MTAB-264.raw.1.zip	P-MTAB-13853	NA18534	CHB_p3_expression.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-264/E-MTAB-264.processed.1.zip	NA18534	HapMap CHB	HIGH
NA18534	cell	Homo sapiens	HapMap CHB	lymphoblastoid	asian	NA18534	P-MTAB-13849	NA18534	total_RNA	P-MTAB-13850	NA18534	biotin	P-MTAB-13851	NA18534_2_1	A-MEXP-930	P-MTAB-13852	CHB.raw_data.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-264/E-MTAB-264.raw.1.zip	P-MTAB-13853	NA18534	CHB_p3_expression.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-264/E-MTAB-264.processed.1.zip	NA18534	HapMap CHB	HIGH
NA18536	cell	Homo sapiens	HapMap CHB	lymphoblastoid	asian	NA18536	P-MTAB-13849	NA18536	total_RNA	P-MTAB-13850	NA18536	biotin	P-MTAB-13851	NA18536_1_1	A-MEXP-930	P-MTAB-13852	CHB.raw_data.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-264/E-MTAB-264.raw.1.zip	P-MTAB-13853	NA18536	CHB_p3_expression.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-264/E-MTAB-264.processed.1.zip	NA18536	HapMap CHB	HIGH
